"age"	"purchases"
36	3439
30	3105
41	4345
38	3749
36	3558
34	3351
28	2763
31	3509
32	3272
31	3288
44	4756
38	3916
42	4546
38	3436
42	4207
30	2826
37	4289
38	3747
42	4186
27	2607
31	2313
40	4594
35	4045
38	4130
31	2719
40	5068
31	3114
33	3506
29	3034
36	3855
49	4760
40	4034
38	4010
42	3851
36	3309
26	2724
35	2893
40	3760
40	3479
30	2850
35	3254
37	3187
31	2572
31	2963
39	4404
38	3967
27	2835
37	4031
40	4250
37	3105
36	3559
34	3481
46	5300
39	4060
37	4439
38	3722
40	3332
31	2756
39	4192
34	3401
32	3474
43	4359
42	4289
43	4595
37	3492
31	3163
30	3201
36	3832
35	2920
42	4146
36	3571
37	3409
42	4045
35	3626
42	4632
37	3806
40	4264
27	2732
39	3469
36	3121
34	3575
42	4247
31	3300
37	3749
31	3102
35	3646
44	4859
36	3484
42	4083
39	3978
45	3874
37	3954
32	3126
43	3968
31	2680
42	4100
34	3947
36	3774
36	3460
38	3421
29	3085
39	3301
33	3387
34	2994
45	4254
24	2401
38	3654
44	4326
29	3123
34	3477
36	3644
29	3310
32	2816
33	2906
36	3889
32	3722
42	4267
43	3872
31	3359
39	3268
35	4321
38	3654
26	2664
28	2946
43	4195
38	2836
38	3828
38	3395
42	3742
38	4205
35	3835
36	3322
39	4036
35	3478
33	3545
40	4261
30	2835
33	3297
32	3127
42	4064
37	3494
44	4971
37	3354
41	4027
40	4171
34	3287
42	4399
37	3611
33	2858
42	4357
42	3712
44	4234
38	3686
41	3992
41	4200
37	3667
36	3830
44	4738
44	4657
34	3272
37	3634
37	4173
32	3062
35	3995
31	3306
42	3783
44	5223
41	3687
34	3507
36	3419
34	3036
35	3677
38	3226
38	3527
37	3593
36	2646
30	2666
39	4042
31	3774
38	3934
34	3616
39	3934
41	4079
40	4188
35	3598
39	3896
28	2962
37	3876
39	4343
36	3395
35	3000
41	4455
36	3281
36	3393
32	2967
39	3982
39	4919
32	2819
33	3849
37	4425
30	3234
45	4368
39	3478
39	3371
42	4193
41	3399
38	3423
34	3229
39	3757
33	3114
45	5022
36	3983
38	4287
28	2722
27	2372
40	3579
31	3112
38	3888
33	3655
39	3910
41	3383
31	2622
33	3834
35	3448
42	4373
26	2439
44	4363
44	4460
32	3228
43	4364
41	3731
37	3780
40	3752
39	4031
29	3298
41	3940
31	2627
38	3366
29	2476
27	3043
34	2791
41	3432
46	4097
48	4789
41	3393
32	2828
38	3951
42	4545
33	3063
24	2550
38	3235
39	3810
28	2667
28	2764
37	4081
27	2516
41	3891
32	2870
34	3483
33	3131
32	3179
36	3610
43	4567
37	4012
37	3979
31	3156
36	3551
30	3394
39	4124
34	3690
41	3722
33	3664
34	3702
32	3664
41	4034
43	4529
38	3275
43	4296
45	3990
40	3709
33	3619
41	4570
34	3744
33	3570
35	3196
43	3713
35	3327
26	2453
33	3441
35	4060
28	2772
39	3721
37	4527
36	3441
44	3836
40	4036
33	2611
37	3840
38	3663
36	3013
43	4168
36	2889
42	4383
43	3750
37	3719
33	3198
40	3816
44	4766
40	3775
39	3571
33	2735
28	2628
33	3317
41	4593
39	4262
41	3898
33	3607
27	2650
38	3635
42	4517
33	3537
39	3574
29	3168
36	3771
43	4191
35	2747
39	3637
37	3300
39	3316
33	3086
35	3686
30	3119
34	3546
46	4638
29	2818
42	4468
46	3786
35	3722
28	2873
37	3453
43	4068
39	3717
39	3978
43	4608
41	3681
31	3146
36	3825
31	3281
34	3481
33	3665
39	4154
37	4431
40	4131
36	4041
40	3387
37	4743
42	4387
27	2989
37	3304
44	4688
42	3986
38	3513
41	4507
27	2613
42	5053
33	3180
39	4688
43	3762
35	3503
36	3185
35	3379
37	2766
36	2927
36	3628
46	4545
41	3879
29	3365
37	4033
40	3713
46	4801
41	4484
37	4077
44	5039
37	3546
46	4449
37	3419
45	5339
40	4073
36	3560
32	3197
34	3431
35	3876
33	3313
32	3464
30	2917
27	2488
32	3520
35	4010
35	3629
33	3279
39	4293
40	3703
38	3343
40	3636
35	3104
36	3674
33	3180
34	4127
45	4977
40	3583
36	4096
42	4398
42	3598
44	5208
33	3420
44	4501
42	4594
34	2999
40	4043
41	3554
39	3605
35	3971
39	3998
29	2021
30	3071
36	4453
32	3806
36	3542
39	3902
31	2895
37	3588
41	4201
35	3780
35	2971
33	3077
52	6377
35	3143
30	2712
34	3312
37	4187
37	4114
40	3838
36	4424
32	3531
33	3704
38	4248
37	3702
24	2632
39	3788
45	4957
42	4436
45	4284
28	2748
31	2935
47	4741
33	3660
42	3528
33	2603
34	3398
34	3806
36	3438
30	3080
31	3140
31	3082
32	3105
44	4382
32	3521
40	4121
42	4362
36	3499
34	2744
38	4338
37	3528
45	4170
40	3622
38	3650
35	3323
40	3329
36	3554
37	3972
27	2580
34	3045
39	4067
39	4037
36	3786
35	3315
32	3472
32	2735
41	3895
37	3748
41	4048
39	3526
32	3170
34	3869
52	5624
34	4444
38	3248
37	3738
38	4477
42	3475
