"age"	"purchases"
37	4556.5
50	7671
30	2929
43	6696
42	5812.5
26	2676
44	6109.5
45	5998.5
37	5106.4
30	3032
42	7321.5
45	6036
46	7056
42	5803.5
29	3255
31	3268
39	5413.2
48	7459.5
34	3198
28	2554
38	4747.6
39	4358.9
31	3321
28	2743
34	3221
48	7543.5
28	2606
38	5344.3
33	3875
40	4907.5
34	3213
47	7251
44	6540
35	3343
40	5382
42	6477
34	3407
35	3459
40	5519.8
36	3670.7
35	3254
41	6018
34	3304
39	5071.3
33	3289
45	6760.5
33	2982
35	3081
38	4975.1
30	2982
42	6583.5
31	3072
43	5800.5
39	4943.9
47	7236
37	5439.2
39	4629.3
48	8212.5
35	3690
48	7167
37	4854.2
41	6649.5
40	5547.1
36	4177.8
39	5200
41	6630
40	5389.8
45	6655.5
41	6633
41	6105
41	6213
44	6754.5
33	3345
36	4394.5
28	2653
42	6087
40	5616
42	6301.5
34	3732
36	3785.1
35	3107
34	3437
32	2719
40	5603
41	5913
30	2890
34	3536
31	3409
38	5231.2
49	6883.5
39	4989.4
33	3178
40	5005
39	5393.7
23	2504
45	6132
33	3411
24	2269
33	3318
47	6939
36	4324.1
50	8251.5
34	3407
42	7279.5
34	3523
31	3127
38	4706
35	3448
36	4070
42	6013.5
36	3895.1
31	2888
34	3254
49	7525.5
29	2704
40	5406.7
39	5073.9
29	2996
33	3300
29	3176
32	3274
30	3264
39	5033.6
38	5102.5
37	4773.6
34	3443
44	6757.5
38	4682.6
24	2489
42	6169.5
33	3467
29	2700
40	4743.7
30	2932
46	7237.5
37	4986.8
42	6429
46	7191
52	8743.5
36	4150.3
37	4648.8
24	2346
43	6244.5
45	6901.5
32	2896
55	8704.5
39	4828.2
36	4129.4
39	4794.4
34	3262
45	6678
43	6382.5
47	7293
40	5041.4
36	3557.4
35	3187
37	4911.4
29	3086
38	5285.8
37	4752.8
38	5233.8
42	5592
41	6385.5
44	6981
32	3191
26	2401
31	3329
49	6837
36	4248.2
37	5010.2
43	5326.5
37	4780.1
40	4850.3
34	3339
37	5081.7
31	3191
37	4574.7
33	3257
42	6681
40	5434
35	3618
36	3965.5
45	7158
36	4160.2
52	8160
45	6994.5
35	3817
38	4933.5
37	4758
34	3302
42	6672
48	7398
38	4802.2
38	5055.7
39	5408
43	6115.5
41	5458.5
30	3150
38	4728.1
36	3723.5
34	3381
35	3768
38	4932.2
44	6886.5
42	6309
40	4997.2
22	2533
41	5605.5
31	2889
43	6318
35	3509
48	6948
38	4904.9
28	2780
39	4966
36	3471.6
43	6448.5
31	2883
46	7129.5
37	4752.8
45	6432
33	3315
29	2708
37	5089.5
33	2815
43	6756
32	3123
38	4721.6
37	4494.1
27	2817
32	3264
50	7654.5
33	3386
37	4538.3
34	3613
47	6861
36	4325.2
49	6978
35	3330
37	5170.1
34	3205
42	6691.5
27	2358
39	5015.4
34	3085
39	5449.6
35	3361
42	6354
41	6681
42	6301.5
44	6997.5
37	4412.2
36	4238.3
33	3615
27	2851
33	3323
34	3232
33	2785
41	5979
30	3198
49	7326
30	2961
48	6307.5
29	3035
25	2425
37	4405.7
42	6637.5
46	6910.5
29	3060
34	3417
41	6880.5
42	5964
38	4924.4
38	4973.8
40	5359.9
33	3278
35	3495
30	3262
33	3240
27	2811
41	6520.5
34	3416
41	6631.5
33	3037
42	6352.5
36	4077.7
34	3111
42	6013.5
41	6171
41	5985
45	7374
34	2957
48	6733.5
36	4040.3
44	6667.5
40	5358.6
45	7047
46	6991.5
37	5021.9
35	3525
37	5267.6
41	6114
32	3367
40	5266.3
51	7107
39	4544.8
42	6400.5
32	2706
40	5125.9
35	3522
21	2268
29	2722
43	6406.5
27	2491
49	7725
42	6376.5
31	2810
45	6943.5
35	3770
38	4563
44	6844.5
36	4247.1
33	3144
43	7018.5
40	5414.5
43	5914.5
42	6022.5
40	4972.5
27	2525
41	5905.5
35	3350
42	6142.5
34	3258
32	3152
37	4690.4
51	8652
41	6106.5
37	4877.6
37	4543.5
22	2198
41	5883
33	3516
35	3655
47	6322.5
31	2784
33	3226
33	3288
30	3187
27	2919
45	6969
33	2973
30	2745
26	2687
34	3153
31	3002
44	6180
43	6030
37	4633.2
36	4173.4
35	3353
34	3118
33	3175
37	4868.5
38	5023.2
36	3756.5
42	6516
37	5241.6
48	6643.5
36	4262.5
37	4859.4
43	7089
42	6589.5
35	3561
37	5445.7
26	2625
39	5358.6
38	4955.6
36	3872
45	6408
32	3129
41	5839.5
31	3158
37	4459
35	3487
36	3814.8
41	6241.5
42	6429
27	2616
25	2497
42	6534
31	2856
33	3070
29	2916
41	5619
35	3715
45	7153.5
36	3852.2
35	3468
34	3499
40	5327.4
40	5047.9
45	5974.5
37	4452.5
38	5508.1
46	7087.5
35	3276
32	2954
43	6331.5
45	6367.5
40	5684.9
40	5307.9
22	2227
45	6352.5
41	5907
46	7110
24	2231
43	6564
47	7116
42	7279.5
42	6561
31	3149
23	2348
38	5174
34	3153
41	6085.5
41	5487
36	3957.8
31	3231
36	3661.9
29	2920
47	6918
33	3243
36	4296.6
32	3256
27	2450
40	5682.3
43	6604.5
39	4946.5
33	2812
41	5962.5
42	6118.5
44	6583.5
53	8113.5
39	4552.6
45	6369
47	7204.5
42	6753
37	4453.8
31	2698
36	4017.2
27	2646
34	3109
33	3191
41	5752.5
32	2916
56	8976
30	2785
51	7813.5
32	3474
37	5181.8
34	3809
40	5423.6
35	3691
33	3368
45	6535.5
32	3327
38	5167.5
40	5003.7
42	5923.5
48	6895.5
45	7359
39	5587.4
34	3335
43	5968.5
40	5162.3
36	3707
27	2901
29	3098
37	5103.8
33	3301
34	3653
35	3477
36	4381.3
44	6345
38	4553.9
37	4594.2
43	6445.5
30	3037
32	3728
37	4878.9
28	3004
35	3264
41	6613.5
33	3581
21	2097
34	3358
46	7126.5
40	5422.3
30	2989
37	4955.6
